Version,CommitId,Fichier,ContientBogue,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,CommitsChanged,CommitsBeforeVersion
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbortTxnRequest.java,False,7,0,6,1,2,,,,6.0,3.0,6.0,36,35.0,5.0,38,1.0,2.0,0.0,35,,387,64,297,104.0,144,29,,139,207.0,91.0,124,5,,3,,0.0,10,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbortTxnsDesc.java,False,5,0,3,2,1,,,,1.0,0.0,1.0,2,2.0,1.0,2,0.0,0.0,0.0,2,,36,0,13,8.0,3,23,,7,10.0,8.0,2,1,,0,,1.0,77,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbortTxnsRequest.java,False,8,0,7,0,2,,,,6.0,3.0,5.0,39,38.0,4.0,41,1.0,2.0,0.0,38,,438,67,346,110.0,164,28,,154,236.0,101.0,149,6,,4,,0.0,8,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractBucketJoinProc.java,False,38,3,32,3,7,,,,1.0,2.0,0.0,12,10.0,1.0,12,0.0,4.0,3.0,5,,515,52,395,155.0,236,69,,193,282.0,137.0,205,26,,6,,0.0,17,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractCommandHandler.java,False,7,0,7,0,2,,,,1.0,0.0,0.0,8,8.0,6.0,8,0.0,0.0,0.0,8,,110,18,67,30.0,26,25,,31,46.0,24.0,24,5,,2,,0.0,37,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractCorrelationProcCtx.java,False,5,0,5,0,2,,,,1.0,0.0,1.0,8,8.0,5.0,8,0.0,0.0,0.0,8,,99,14,63,28.0,23,23,,35,49.0,29.0,22,5,,3,,0.0,37,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractDeserializer.java,False,0,0,0,0,0,,,,1.0,0.0,0.0,4,4.0,0.0,4,0.0,0.0,0.0,4,,68,8,11,10.0,0,49,,9,10.0,10.0,0,0,,0,,4.0,45,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractEncodingAwareSerDe.java,False,8,0,8,0,2,,,,1.0,0.0,1.0,7,7.0,1.0,7,0.0,0.0,4.0,3,,87,12,43,27.0,11,32,,23,30.0,21.0,11,2,,1,,0.0,74,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractExpression.java,False,8,0,8,0,2,,,,1.0,0.0,1.0,12,12.0,2.0,12,0.0,0.0,10.0,2,,150,16,121,59.0,56,13,,82,105.0,58.0,63,3,,2,,0.0,11,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractFileMergeOperator.java,False,18,1,14,4,3,,,,1.0,1.0,2.0,12,11.0,16.0,12,0.0,2.0,4.0,6,,293,23,204,69.0,118,66,,107,142.0,61.0,94,9,,5,,0.0,32,1,0
