BugId,Fichier,Version
HIVE-21487,TxnDbUtil.java,3.1.1
HIVE-21146,HiveStreamingConnection.java,3.0.0
HIVE-21146,TestStreaming.java,3.0.0
HIVE-22113,TaskRunnerCallable.java,3.1.1
HIVE-22009,TestJdbcWithMiniHS2.java,3.1.1
HIVE-22009,TestJdbcWithMiniHS2.java,4.0.0
HIVE-22009,CreateTableLikeOperation.java,3.1.1
HIVE-22009,CreateTableLikeOperation.java,4.0.0
HIVE-20507,BeeLine.java,3.1.0
HIVE-20507,BeeLineOpts.java,3.1.0
HIVE-20507,HiveConnection.java,3.1.0
HIVE-20507,Utils.java,3.1.0
HIVE-20187,OpTraitsRulesProcFactory.java,3.1.0
HIVE-20337,CachedStore.java,3.1.0
HIVE-20337,CachedStore.java,3.0.0
HIVE-19199,DbTxnManager.java,3.1.0
HIVE-20040,ThriftHttpCLIService.java,3.1.0
HIVE-20040,ThriftHttpCLIService.java,3.0.0
HIVE-20021,Hadoop23Shims.java,3.0.0
HIVE-19871,HiveMetaStore.java,3.0.0
HIVE-19871,HiveMetaStoreClient.java,3.0.0
HIVE-19871,NonCatCallsWithCatalog.java,3.0.0
HIVE-19558,Hive.java,3.0.0
HIVE-19558,Table.java,3.0.0
HIVE-19558,BitSetCheckedAuthorizationProvider.java,3.0.0
HIVE-19558,HiveAuthorizationProviderBase.java,3.0.0
HIVE-19558,StorageBasedAuthorizationProvider.java,3.0.0
HIVE-19576,AuthorizationPreEventListener.java,3.0.0
HIVE-19576,IHMSHandler.java,3.0.0
HIVE-19686,HiveSchemaTool.java,3.0.0
HIVE-19531,TransactionalValidationListener.java,3.0.0
HIVE-19497,SessionHiveMetaStoreClient.java,3.0.0
HIVE-18493,TestBeeLineWithArgs.java,3.0.0
HIVE-17163,AbstractExpression.java,3.0.0
HIVE-17163,BlackholeOperator.java,3.0.0
HIVE-17163,ColumnVectorGenUtil.java,3.0.0
HIVE-17163,VectorizedLikeBench.java,3.0.0
HIVE-17163,AbstractMapJoin.java,3.0.0
